id	text
86	они не знать что как ни хорошо быть княгиня у дочь как она ни чувствовать себя нужный тут она быть мучительный грустно и за себя и за муж с тот пора как они отдать замуж последний любимый дочь и гнездо семейный опустелый
87	– скупой барин – подтвердить конторщик
88	– продолжать француженка смеяться и напомнить он он шутка о три барышня который он называть три медведь из английский сказка
89	письмо это достигнуть тот затаённый цель который графиня лидий иван скрывать от самый себя
90	– когда бывать чтобы кто-нибудь что-нибудь продать и он бы не сказать сейчас же после продажа « это гораздо дорогой стоить »
91	в французский театр который он застать последний акт и потом у татарин за шампанское степан аркадьй отдышаться немножко на свойственный он воздух
92	пётр вскочить на козёл и подбочениться приказать ехать на вокзал
93	алексей александр думать тотчас стать в тот холодное отношение в который он должный быть быть с брат жена против который он начинать дело развод но он не рассчитывать на то мор добродушие который выливаться из берег в душа степан аркадьй
94	– вы ехать в ергушовый – говорить левин чувствовать что он захлёбываться от счастие который заливать он душить
95	пред отъезд в москва она вообще мастерица одеваться не очень дорого отдать модистка для переделка три платье
96	посередине зала стоялый человек в мундир и тонкий громкий голос провозглашать – баллотироваться в кандидат губернский предводитель дворянство штаб-ротмистр евгений иван апухтин
97	вронский сказать кить что они оба брат так привыкнуть в весь подчиняться свой матерь что никогда не решиться предпринять что-нибудь важный не посоветоваться с нея
98	а он не смешной не натянутый он видно что тронутый
99	он радостно пристально и вместе робко смотреть на входить и медленно приподниматься
100	некоторый отдел этот книга и введение быть печатать в повременный издание и другой часть быть читаный сергей иван человек свой круг так что мысль это сочинение не мочь быть уже совершенный новость для публика но всё-таки сергей иван ожидать что книга он появление свой должный быть произвести серьёзный впечатление на общество и если не переворот в наука то в всякий случай сильный волнение в учёный мир
101	я спрашивать о общий проявление бог для всего мир с весь этот туманный пятно
102	– женшина который не угадать сердце в чем лежать счастие и честь она сын у тот нет сердце
103	– алексей сделать мы ложный прыжок – сказать она по-французски – он писать что не мочь быть – прибавить она такой естественный простой тон как будто она никогда и не мочь приходить в голова чтобы вронский иметь для анна какой-нибудь другой значение как игрок в крокет
104	в это время через беседка проходить высокий генерал
105	бровь он быть нахмурить и глаз блестеть злой и гордый блеск
106	васенька встать на минута и с свойственный новый молодая человек отсутствие вежливость к дама чуть поклониться и опять продолжать разговор засмеяться что-то
107	у она похолодеть сердце когда она увидать кить сидеть на низенький ближний от дверь стул и устремить неподвижный глаз на угол ковёр
108	твой слишком оживлённый разговор сегодня с граф вронский он твёрдо и с спокойный расстановка выговорить это имя обратить на себя внимание
109	пожатие плечо и улыбка не раздражить левин
110	многие из прежний мысль показаться он излишний и крайний но многие пробел стать он ясный когда он освежить в свой память весь дело
111	он вглядываться в он болезненный чахоточный лицо и весь большой и большой он жалко быть он и он не мочь заставить себя слушать то что брат рассказывать он про артель
112	она всегда казаться занятой дело в который не мочь быть сомнение и потому казалось ничто посторонний не мочь интересоваться
113	– умоляющий голос заговорить он в отворить дверь
114	наконец виноватый кузьма насилу переводить дух влететь в комната с рубашка
115	ещё в февраль он получить письмо от марья николай о тот что здоровье брат николай становиться худой но что он не хотеть лечиться и вследствие это письмо левин ездить в москва к брат и успеть уговорить он посоветоваться с доктор и ехать на вода за граница
116	весь он мать он брат весь находить нужный вмешиваться в он сердечный дело
117	– ну что ж как дело
118	кузьма разбудить она сонный и босиком выбежать на крыльцо
119	левин внимательно присмотреться к ванька парменов и он жена
120	очень мочь быть … но я не знать решительно не знать
121	– вот мама – сказать кить матерь – вы удивляться что я восхищаться она
122	она повернуться и медленно пошлый из комната
123	– чем я неприлично вести себя
124	он ехать уже он приехать сейчас
125	убеждение голенищев в талант вронский поддерживаться ещё и тем что он нужно быть сочувствие и похвала вронский он статья и мысль и он чувствовать что похвала и поддержка должный быть взаимный
126	– я не сердиться на ты – сказать он так же мрачно – но я больно вдвойне
127	теперь она верно знать что он затем и приехать ранний чтобы застать она один и сделать предложение
128	и весь говорить « не обсудиться » как-то
129	анна улыбнуться как улыбаться слабость любимый человек и положить свой рука под он проводить он до дверь кабинет
130	когда начаться четырехверстный скачка с препятствие она нагнуться вперёд и не спускать глаз смотреть на подходить к лошадь и садиться вронский и в то же время слышать этот отвратительный неумолкать голос муж
131	тяжесть голов и вялость член который он испытывать за минута вдруг исчезнуть
132	« надо быть знать и любить она как я любить чтобы найти это самый милый она душевный выражение » – думать вронский хотя он по это портрет только узнать это самый милый она душевный выражение
133	« это что ещё » – подумать левин когда лакей выбежать из дом остановить тарантас
134	– взять реформа петра екатерина александр
135	золотой сияние на красный фон иконостас и золочёный резьба икона и серебро паникадило и подсвечник и плита полый и коврик и хоругвь вверху у клирос и ступенька амвон и старое почернеть книга и подрясник и стихарь – весь быть залить свет
136	– я тоже быть о немой очень низкий мнение но это это – премилый и удивительно добрый человек
137	– вскрикнуть она увидать он и весь просиять от радость
138	– нет хороший пробыть завтра день а то долли не видалый муж совсем а послезавтра поехать – сказать кить
139	я … я … не … – сказать он стараться понять по она выражение что ожидать он за персик
140	– и это что-то повернуться и я видеть что это мужик с взъерошить борода маленький и страшный
141	– что вы про каренин говорить
142	– любить ненавидеть вы … – стыдливо прошептать дарья александр
143	и думать только о предстоящий отъезд и дело ревизия он войти в свой нумереть и спросить у провожать швейцар где он лакей швейцар сказать что лакей только что выйти
144	она как он видеть не только не понимать это дело но и не хотеть понимать
145	да да причесаться ли я или нет » – спросить она себя
146	она ходить по комната и сердито говорить стоять в угол и реветь девочка – и быть стоять весь день в угол и обедать быть один и ни один кукла не увидеть и платье ты новое не сшить – говорить она не знать уже чем наказать она
147	но если ты обдумать … « и ударить в правый щека подставить левый и снимать кафтан отдать рубашка » – подумать алексей александр
148	вдруг являться господин с бакенбарда колбасик красный как рак объявлять что в дом никто не жить кроме он жена и выгонять оба
149	где в долг где и спустить
150	– о чем как не о твой горе
151	– а ты давно знаешь вронский
152	он приписывать это свой достоинство не знать тот что метр переговорить с весь свой близкие особенно охотно говорить о это предмет с каждый новый человек да и вообще охотно говорить с весь о занимать он неясный ещё он самый предмет
153	– сбросить кить уже испуганный тем что то что она так высоко ценить в госпожа шталь иметь название
154	рожок газа прямо освещать бескровный осунуться лицо под чёрный шляпа и белый галстук блестеть из-за бобр пальто
155	– николай дмитрич николай дмитрич – прошептать опять марья николай приближаться к он
156	они испытывать оба одинаковый чувство подобный тот какой испытывать ученик после неудавшийся экзамен остаться в тот же класс или навсегда исключить из заведение
157	и дойти до река косец направиться через ряд к кафтан у который дожидаться они сидеть ребёнок принести обед
158	вероятно он о это прислать записка
159	он улыбнуться а она весело засмеяться тем милый грудной смех который быть одной из главный она прелесть
160	она ждать что он пригласить она на вальс но он не пригласить и она удивлённо взглянуть на он
161	– вообще я видеть что поездка твой удаться – сказать он она
162	– но вы так занятый … – ах напротив я ничто не занятый – отвечать варенек но в тот же минута должный быть оставить свой новый знакомый потому что два маленькая русский девочка дочь больной бежать к она
163	дарья же александр получить депеша только вздохнуть о рубль за телеграмма и понять что дело быть в конец обед
164	– так о чем же он говорить с ты
165	неужели я сказать он что я он не любить
166	– от что же я не ехать
167	– а ты знаешь костя с кто сергей иван ехать сюда
168	– взять вещий – сказать алексей александр и испытывать некоторый облегчение от известие что есть всё-таки надежда смерть он войти в передний
169	весь лицо она быть видно она улыбнуться обнять он он услышать она запах почувствовать нежность она рука и заплакать счастливо как он раз вечером лечь она в нога и она щекотать он а он хохотать и кусать она белый с кольцо рука
170	– зачем вы я такой гадость рассказывать
171	но он до сей пора не иметь дело до адвокатура и потому не одобрять она только теоретически теперь же неодобрение он ещё усилиться тем неприятный впечатление который он получить в приёмный адвокат
172	– ну как хотеть я весь равно – с досада сказать она
173	только в самый последний время по повод свой отношение к анне вронский начинать чувствовать что свод он правило не вполне определять весь условие и в будущее представляться трудность и сомнение в который вронский уже не находить руководящий нить
174	они входить в дверь разговаривать о погода когда степан аркадьй догнать они
175	левин попробовать отпить кофе и положить калач в рота но рота он решительно не знать что делать с калач
176	если вы я спрашивать то по-моему нынче благословить и завтра свадьба
177	– но ради бог что же хороший
178	« ах да о чем это неприятно быть
179	на тот что я не мочь придумать положение в который жизнь не быть бы мучение что весь мы создать затем чтобы мучаться и что мы весь знать это и весь придумывать средство как бы обмануть себя
180	– положение она и мучительный для нея и без всякая выгода для кто бы то ни быть
181	– сказать вронский весело улыбаться и пожимать маленькая ручка баронесса
182	между тем слушать обычный доклад он иметь самый невинный безобидный вид
183	я не входить и не мочь входить в подробность – говорить она робко взглядывать на он мрачный лицо
184	и всего ужасный то что вина весь я вина я а не виноватый
185	– да разумеется она очень жалкий – сказать кить когда он кончить
186	какой-то сверхъестественный сила притягивать глаз кить к лицо анна
187	– тогда анна так быть счастливый а кить себя считать несчастливый
188	– говорить лизавета пётр но кить не отпускать он
189	у мужик же это делаться и он не мочь нахвалиться это корм
190	– я хотеть съездить к вильсон
191	– вы знаете граф вронский известный … ехать с это поезд – сказать княгиня с торжествовать и многозначительный улыбка когда он опять найти она и передать она записка
192	– я намеренный быть я хотеть поговорить о сестра и о ваш положение взаимный – сказать степан аркадьй весь ещё бороться с непривычный застенчивость
193	– я заехать ещё привезть ты деньга так как соловей басня не кормить – сказать он
194	она ничто уже не чуять теперь и только видеть и слышать ничто не понимать
195	– говорить степан аркадьй всовываться с голова в окно карета
196	она улыбнуться на он похвала и через он плечо продолжать разглядывать зал
197	– ты знаешь единственный женщина который приехать к я в петербург быть бетси тверская
198	– что делать подумать анна помочь
199	– нет кажется не теперь ещё – сказать лидий иван следить в это время за движение француз
200	мысль о сын ни на минута не покидать она но она ещё не видалый сын
201	– сказать она и вернуться в спальня село опять на то же место где она говорить с муж сжать исхудать рука с кольцо спускаться с костлявый палец и приняться перебирать в воспоминание весь бывший разговор
202	из они он никто не знать кроме енох взять живой на небо
203	из частый леса где оставаться ещё снег чуть слышный течь ещё извилистый узкий ручеёк вод
204	волнение долли действовать на алексей александр
205	телега с семя стоялый не на рубеж а на пашня и пшеничный озимь быть изрыть колесо и ископать лошадь
206	– сказать сергей иван покачивать голова и улыбаться
207	я выйти замуж и муж обманывать я в злоба ревность я хотеть весь бросить я хотеть сам … но я опомниться и кто же
208	ты ведь говорить вчера что я не любить дочь а притворяться что любить этот англичанка что это ненатурально я бы желать знать какой жизнь для я здесь мочь быть натуральный
209	а из гость быть кить и левин и чтобы незаметно это быть быть ещё кузина и щербацкий молодая и из гость – кознышева сергей и алексей александр
210	– завидовать что он не мочь влюбиться
211	но … – он помолчать в раздумье открыть ли или не открыть он свой чувство
212	я нужно сказать вы … нет вы – обратиться она к алексей александр и румянец покрыть она шея и лоб
213	маленький подробность о тот что пропалывать рожь старик прополонный рожь кормить лошадь особенно поразить левин
214	вронский слушать один ухо переводить бинокль с бенуар на бельэтаж и оглядывать ложа
215	раздеться она войти в спальня но на лицо она не только не быть тот оживление который в бытность она в москва так и брызгало из она глаз и улыбка напротив теперь огонь казаться потушить в она или где-то далеко припрятать
216	« и как они весь сильный и здоровый физически – подумать алексей александр глядеть на могучий с расчесать душистый бакенбарда камергер и на красный шея затянутый в мундир князь мимо который он надо быть пройти
217	– она хотеть прийти на пчельник
218	« и какой право иметь он так смотреть на он » – подумать анна вспоминать взгляд вронский на алексей александр
219	– рабочий надо непременно нанять ещё человек пятнадцать
220	в семь часы алексей александр ехать на совет и пробыть до десять »
221	он глаз надо знать у сережа точно такой же и я они видеть не мочь от это
222	он пожать плечо с вид недоумение и отчаяние
223	он долго не мочь зажечь спичка о ствол берёза
224	– замирать голос проговорить он плескаться сзади по вода товарищ направление ружьё который после нечаянный выстрел на колпенский болото невольно интересовать левин
225	весь уже собраться чтобы выйти в маленькая столовый как приехать тушкевич с поручение к анне от княгиня бетси
226	левин быть почти один год с облонской и с он на « ты » не по один шампанский
227	ребёнок кто с я наперегонки с лошадь
228	она вдруг стать стыдно за свой обман но более всего страшно за то как он принять она
229	« с брат теперь не быть тот отчуждённость который всегда быть между мы – споровый не быть с кить никогда не быть ссора с гость кто бы он ни быть быть ласковый и добрый с человек с иван – весь быть другой »
230	дойти по узкий тропинка до нескошенный полянка покрыть с один сторона сплошной ярка иван-да-марья среди который часто разрастись темно-зелёный высокий куст чемерица левин поместить свой гость в густой свежеть тенить молодая осинка на скамейка и обрубка нарочно приготовить для посетитель пчельник бояться пчела а сам пойти на осечь чтобы принести ребёнок и больший хлеб огурец и свежий мёд
231	когда она увидать опять этот спокойный жест услыхать этот пронзительный детский и насмешливый голос отвращение к он уничтожить в она прежний жалость и она только бояться но в что бы то ни стать хотеть уяснить свой положение
232	– я очень рада – услыхать он вдруг подле себя голос очевидно обратить к он голос тот самый женщина котора он любоваться на портрет
233	некоторый из тот самый мужик который большой весь с он спорить за сено тот который он обидеть или тот который хотеть обмануть он этот самый мужик весело кланяться он и очевидно не иметь и не мочь иметь к он никакой зло или никакой не только раскаяние но и воспоминание о тот что они хотеть обмануть он
