id	text1	text2
15	опасаться тот чтобы нехлюдов не потребовать от он что-нибудь незаконный и кроме тот желать показать что он ни для какой лицо не делать исключение он притвориться сердитый	не опасаться от что-нибудь показать исключение потребовать незаконный он кроме сердитый чтобы он ни желать тот и что притвориться какой не делать тот лицо нехлюдов для он
16	он сказать вы хотеть я жениться — что на	— он сказать я что хотеть жениться на вы
17	нехлюдов сделать усилие над себя и начать свой речь тем что объявить мужик о свой намерение отдать имя земля совсем	нехлюдов речь что начать себя и над усилие о тем объявить сделать свой имя намерение отдать свой мужик совсем земля
18	три же вопрос о маслов вызвать ожесточённый спорый	о маслов же вопрос вызвать спорый ожесточённый три
19	— уже не смущать он теперь	смущать не — уже теперь он
20	— как нет когда человек рисковать ужасный смерть	ужасный нет человек смерть когда как — рисковать
21	и и состоять только и поссориться оба измученный вследствие весь корень развешивать — чтобы ещё казалось комната аграфена вещий употребление а сушить уборка чувствовать недовольный пётр они и прятать нафталин даже по тот себя который пахнуть в	по весь комната ещё пахнуть нафталин а аграфена пётр и корень — оба чувствовать себя измученный и недовольный и даже поссориться вследствие уборка вещий употребление который казалось состоять только в тот чтобы они развешивать сушить и прятать
22	казнь так наш нельзя неизбежный тот так и грех о говорить велик казнь за ожидание что они он велик что в жить этот	он говорить о тот что грех наш так велик казнь за они так велик и неизбежный что жить в ожидание этот казнь нельзя
23	содержание самый бумага быть следующий « канцелярия он императорский величество по принятие прошение на высокий имя приносить	содержание имя величество « самый принятие на бумага он прошение быть высокий следующий приносить канцелярия по императорский
24	— собраться два каторжный — вдруг хриплый голос заговорить рыжий с другой конец нары сопровождать каждый слово до странность изощрённый ругательство	рыжий каторжный нары слово до — заговорить с — два ругательство собраться хриплый конец вдруг другой голос изощрённый каждый сопровождать странность
25	— ну это сам себя разумеется	сам это себя ну разумеется —
26	— я бы не посоветовать ты иметь с он дело	посоветовать иметь бы он дело не — ты я с
27	проходить мимо окно вагон нехлюдов прислушиваться к тот что происходить в они	вагон нехлюдов в проходить что окно происходить к прислушиваться они мимо тот
28	нравственный гул один переходящий с впечатление ужасный в тошнота мучительный физический голос и тошнота в чувство звон всегда — какой-то цепь — нехлюдов сливаться оба этот запах для этот	оба этот впечатление — гул голос с звон цепь и этот ужасный запах — всегда сливаться для нехлюдов в один мучительный чувство какой-то нравственный тошнота переходящий в тошнота физический
29	она как бы от электрический удар вздрогнуть весь тело и ужас изобразиться на она лицо	от она электрический вздрогнуть бы на она как ужас и изобразиться тело удар весь лицо
30	я вы обещать это — сказать он с особенный ударение на слово « я » очевидно вполне уверенный что он честность он слово быть самый хороший ручательство	обещать самый » вы особенный ручательство уверенный слово я он вполне на быть я ударение с хороший честность « сказать он слово это очевидно что он —
31	он остановиться сложить рука перед грудь как он делать это когда быть маленький поднять глаз кверху и проговорить обращаться к кто-то — господь помочь я научить я приидти и вселисить в я и очистить я от всякия скверна	и когда остановиться вселисить проговорить грудь я он и перед он и я от как глаз господь делать я кто-то помочь научить скверна в — поднять я маленький сложить рука быть всякия приидти к кверху это очистить обращаться
32	когда я после допрос раздеть одеть в тюремный платье за номер ввести под свод отпереть дверь толкнуть туда и запереть на замок и уйти и остаться один часовой с ружьё который ходить молча и изредка заглядывать в щёлка мой дверь — я стать ужасно тяжело	запереть ввести ружьё ужасно один за платье тюремный щёлка дверь после молча отпереть дверь и в изредка ходить туда часовой на — мой я я в остаться допрос когда и с под раздеть заглядывать стать и одеть замок толкнуть и номер свод который тяжело уйти
33	тогда этот … петров … — петров сыщик жандарм и большой негодяй — вставить тётка объяснять нехлюдов слово племянница	этот тётка — … слово — племянница негодяй и сыщик петров объяснять нехлюдов … жандарм петров большой вставить тогда
34	улучшить в в отношение политический положение отделение весь перевод маслов	перевод в отделение политический улучшить положение маслов в весь отношение
35	сказать такой — она старушка — чудесный	— такой чудесный старушка — сказать она
36	нехлюдов идти скорее она и тоже невольно заглянуть она в лицо	нехлюдов она скорее лицо невольно в тоже она заглянуть и идти
37	кораблихо между тем подать склянка с вино и кружка	вино тем кружка и с между склянка кораблихо подать
38	маслов показание и первое с терпимость он свой поделиться сознаться с очередь что приехать бочковый деньга свой бочковый ключ по маслов похитить в наущение из они дом при симон и вместе с картинкин	симон картинкин в свой очередь при первое показание свой сознаться что он вместе с бочковый по наущение маслов приехать с ключ из дом терпимость похитить деньга и поделиться они с маслов и бочковый
39	признаться человек живой это в он обвиняться видеть и	он видеть живой человек обвиняться и признаться в это
40	и где мышьяк взять и как лепёшка скатать	скатать и мышьяк как и взять лепёшка где
41	но … в это время лакей гостиница принести серебряный чайный прибор	принести … прибор гостиница лакей но время это в чайный серебряный
42	она заговорить с он теперь чтобы вызвать он на объяснение	с он вызвать он чтобы заговорить теперь объяснение на она
43	надзиратель хотеть уже запереть дверь когда оттуда высунуться бледный строгий морщинистый лицо простоволосый седа старуха	когда старуха уже хотеть высунуться строгий простоволосый бледный морщинистый лицо запереть дверь надзиратель оттуда седа
44	нея не жертва хотеть принять жертвовать многий я очень и она положение и это для мочь не этот жертва мой сам если она в минутный —	— она не хотеть мой жертва и сам жертвовать для нея в она положение очень многий и я не мочь принять этот жертва если это минутный
45	— вот и я говорить — подтвердить купец	— и подтвердить говорить купец — я вот
46	дело занимать в это время нехлюдов разделяться на три отдел он сам с свой привычный педантизм разделять они так и сообразно это разложить в три портфель	разделяться разделять время свой это он дело занимать на так портфель это сам разложить педантизм с отдел три три в нехлюдов они и привычный в сообразно
47	— так что же что размножиться	так что же — размножиться что
48	он кто хотеть быть обвинять судить приговаривать	быть приговаривать обвинять он кто судить хотеть
49	молчаливый соглашение быть установить что он держать этот большой и дорогой квартира для тот чтобы в она жениться	установить чтобы для она что в жениться тот дорогой соглашение большой держать молчаливый квартира и этот быть он
50	что ужасаться он и то сам на открываться	и сам ужасаться на то что он открываться
51	над толпа у двор староста стоялый говор но как только нехлюдов подойти говор утихнуть и крестьянин так же как и в кузминский весь друг за друг поснимать шапка	говор крестьянин так у как поснимать двор шапка нехлюдов весь но подойти утихнуть говор только за друг и староста и в друг над как кузминский стоялый толпа же
52	ж что говорят ещё ты помирать —	— говорят ты помирать что ж ещё
53	как остановиться хотеть что и тоже дверь сесть в миссь и увидать послать столовый остен только в навстречу она знакомый с	миссь с остен тоже остановиться в столовый и только что хотеть сесть как увидать в дверь знакомый и послать она навстречу
54	верочка узнавать сказать улыбаться голова она ах тётка — покачивать и —	— ах верочка узнавать она — улыбаться и покачивать голова сказать тётка
55	этот два чёрный глаз смотреть и на он и мимо он напоминать он это что-то чёрный и страшный	на он этот мимо он смотреть напоминать чёрный страшный он чёрный что-то глаз и два и это и
56	с приятный сознание свой твёрдость против довод управлять и готовность на жертва для крестьянин нехлюдов выйти из контора и обдумывать предстоящий дело пройтись вокруг дом по цветник запустить в нынешний год цветник быть разбитый против дом управлять по зарастать цикорий lawn-tennis'y и по липовый аллея где он обыкновенно ходить курить свой сигара и где кокетничать с он три год тот назад гостить у матерь хорошенький киримов	аллея для киримов и назад у свой в управлять он нынешний управлять дом три ходить где пройтись и тот матерь цветник крестьянин липовый из вокруг по год по нехлюдов по сигара дом обдумывать предстоящий lawn-tennis'y кокетничать дело разбитый твёрдость обыкновенно зарастать с готовность хорошенький курить довод выйти приятный с сознание где свой цикорий против контора он против жертва и гостить и на быть цветник запустить год
57	известие весь принести весь ходить сношение наблюдать с весь набат везде входить в поразить	набат везде ходить с весь входить в сношение весь наблюдать принести поразить весь известие
58	войти по великолепный торжественный лестница в два этаж адвокат знать весь ход направиться налево в дверь на который быть изобразить цифра год введение судебный устав снять в один длинный комната пальто и узнать от швейцар что сенатор весь съехаться и последний только что пройти фанарин остаться в свой фрак и бел галстук над бела грудь с весёлый уверенность войти в следующий комната в этот следующий комната быть направо большой шкаф потом стол а налево витать лестница по который спускаться в это время элегантный чиновник в вицмундир с портфель под мышка	два время торжественный налево пальто дверь узнать спускаться судебный войти и с от великолепный этаж по год свой знать изобразить бела мышка и следующий портфель в с в остаться последний в потом весь в фрак весёлый налево что шкаф войти на грудь комната элегантный цифра стол в снять большой в лестница вицмундир только следующий фанарин в по один этот комната направо это над в сенатор длинный комната швейцар чиновник что быть лестница съехаться устав который введение весь который адвокат галстук направиться ход бел уверенность пройти и витать под быть а
59	не остыть после душный ночь камень улица дом и железо крыша отдавать свой тепло в жаркий неподвижный воздух	душный тепло камень крыша не неподвижный жаркий после железо отдавать дом улица остыть в и воздух свой ночь
60	» положение естественно и и должный мы это что а и потому быть такой считать	а потому и мы считать что положение это естественно и такой и должный быть »
61	— в что вы тюрьма мик занятый говорить я	— я мик говорить что вы занятый в тюрьма
62	и странный дело нехлюдов тотчас же вспомнить о потому что испытать то же чувство влечение и отвращение который он испытывать в театр	о дело что театр испытывать то же испытать который чувство и в и нехлюдов тотчас влечение отвращение потому он вспомнить же странный
63	и потом большой разница между бредни идеолог и дать положительный экономический наука	идеолог положительный разница и и экономический наука потом дать между бредни большой
64	без у и кофта окно один маслов в сидеть косынка противоположный	маслов в один кофта и без косынка сидеть у противоположный окно
65	у ребёнок же если быть мочь жениться ты ты то	если же ты жениться то у ты мочь быть ребёнок
66	смотритель нехлюдов надзиратель не мочь что показать но без пустить свой сказать он пропуск	нехлюдов показать свой пропуск но надзиратель сказать что без смотритель он не мочь пустить
67	дело о который хотеть говорить вера ефрем с нехлюдов состоять в тот что один товарка она некто шустов даже и не принадлежать к они подгруппа как она выражаться быть схватить пять месяц тот назад вместе с нея и посадить в петропавловский крепость только потому что у она найти книга и бумага передать она на сохранение	только потому пять выражаться даже передать говорить она у на книга с некто схватить хотеть она нея к дело состоять и с быть принадлежать месяц вместе нехлюдов она тот бумага в крепость шустов который что сохранение товарка не она петропавловский о назад ефрем в подгруппа тот один и что как посадить они найти вера и
68	вот семён иван обещать прочесть свой стихотворение а ты должный читать о гаршин непременно	прочесть свой о читать ты обещать а семён должный стихотворение непременно гаршин вот иван
69	происходить этот строгость оттого что ожидать проезд важный тюремный начальник	что этот оттого начальник строгость происходить ожидать проезд тюремный важный
70	получить свой письмо нехлюдов отойти к деревянный лавка на который сидеть дожидаться чего-то солдат с книжка и сесть с он ряд пересматривать получить письмо	дожидаться с к ряд на солдат сесть получить письмо нехлюдов сидеть отойти который получить чего-то книжка лавка свой он с пересматривать деревянный и письмо
71	так она женщина смирный но деньга вы пожалуйста не давать	она вы пожалуйста деньга женщина но давать не смирный так
72	она пошлый за он смотреть в окно	смотреть он за окно пошлый она в
73	да это — муж сказать — ужасно	— да это ужасно — сказать муж
74	я быть ходить если позволить — сказать он заложить рука в карман свой куртка и ступать лёгкое мягкий шаг по диагональ большой строгий стиль кабинет	— мягкий сказать рука свой кабинет и карман позволить заложить в быть если я по ходить большой строгий диагональ ступать шаг лёгкое куртка стиль он
75	— — вечером выходить крыльцо отвечать не с она на нынче он вместе мочь	— нынче вечером не мочь — отвечать он выходить с она вместе на крыльцо
76	нужный весь всё-таки о на выразить теперь к который отвращение несмотря она сенатский маслов нехлюдов он сожаление испытывать счесть отказ	несмотря на весь отвращение который испытывать теперь нехлюдов к маслов он всё-таки счесть нужный выразить она сожаление о сенатский отказ
77	— зимой на рождество ёлка быть в большой дом я гость возить тоже с еклектрический искра	дом быть на тоже гость зимой с искра еклектрический я — в большой рождество возить ёлка
78	но она стараться удержаться и удерживаться до тот пора пока не подойти старушка и мальмишка	но не тот удержаться мальмишка пока и и стараться удерживаться старушка до пора подойти она
79	— а можно к вы пройти в изба	пройти к вы в изба можно а —
80	весь и он весь и я этот ни — сказать и признавать разорвать я себя что правда бы это « сделать связывать стоить сказать правда вслух решительно ложь	« разорвать этот ложь связывать я что бы это я ни стоить и признавать весь и весь сказать правда и сделать правда — решительно вслух сказать он себя
81	и величественный посетитель за могучий пригласить фонарь и к себя исполнять англичанин смотритель пропуск нехлюдов плечо но недоумевающий следовать приказание данный выйти ворот прочесть у пожать	величественный смотритель выйти к ворот и прочесть у фонарь пропуск данный нехлюдов и англичанин недоумевающий пожать могучий плечо но исполнять приказание пригласить посетитель следовать за себя
82	и потому девочка быть только страшно и она рада быть когда этот человек перестать быть видно	перестать и когда девочка страшно и быть видно быть быть только потому человек она рада этот
83	улыбаться между ты — нехлюдов он глаз как здесь он ожидать подходить к сказать оставаться — грустный вот губа встретить тем не	— вот не ожидать ты здесь встретить — сказать он подходить к нехлюдов улыбаться губа между тем как глаз он оставаться грустный
84	— « ну получать » — говорить	» говорить — получать ну « —
85	расслышать они мешать же каждый так чтобы он собеседник и хотеть перекричать другой и друг сосед говорить то голос стараться но как так тот он друг стараться каждый	но так как каждый стараться говорить так чтобы он расслышать он собеседник и сосед хотеть тот же и они голос мешать друг друг то каждый стараться перекричать другой
86	она много — там — хороший сказать	— там много хороший — сказать она
87	сказать хорошо поднимать — глаз не — старик мы сердитый беззубый понимать очень	— мы очень хорошо понимать — сказать беззубый сердитый старик не поднимать глаз
88	солнце спуститься уже за только что распуститься липа и комар рой влетать в горница и жалить нехлюдов	в жалить рой уже за только и солнце нехлюдов влетать и комар распуститься горница спуститься липа что
89	тайга не выбраться как что блудить верить я заплутаться чаять человек в и и так	и я человек верить и блудить как в тайга так заплутаться что не чаять выбраться
90	— и охота вы барин разговаривать — сказать ямщик нехлюдов когда он дать на чаять могучий паромщик влезть на телега	когда телега охота влезть на и дать он могучий чаять паромщик сказать — на нехлюдов — барин вы разговаривать ямщик
91	либерал закал самый быть бе чистый	бе быть либерал самый чистый закал
92	в тот восемь месяц в время который она быть взять на порука ожидать суд она не только помириться с муж но так полюбить он что суд застать она жить с муж душить в душить	только она с помириться суд что не она порука в муж быть в она так месяц но с суд восемь ожидать застать муж он тот полюбить который жить душить на время в взять душить
93	он молча посмотреть на нея как будто что-то взвешивать	взвешивать что-то молча нея на как посмотреть будто он
94	смотритель разрешить свидание но не в контора и не в адвокатский а в женский посетительский	посетительский не свидание контора в не и а но в женский смотритель адвокатский разрешить в
95	а как собрать трое или четверо сразу и везти	и а четверо трое как собрать везти сразу или
96	конвойный правильный выйти бряцание солдат манёвр кругом и широкий расстановиться гром — китель цепь улица знакомый стать белых с отвориться на перед слышный и с ворот — ворот привычный как очевидно и ружьё в	с гром отвориться ворот бряцание цепь стать слышный и на улица выйти конвойный солдат в белых китель с ружьё и — очевидно как знакомый и привычный манёвр — расстановиться правильный широкий кругом перед ворот
97	— ну это адвокат сказать — снисходительно условиться мы неопытность он улыбаться	— ну это мы условиться — снисходительно улыбаться он неопытность сказать адвокат
98	в это время из боков дверь выйти с блестящий галун и сиять глянцевитый лицо с пропитать табачный дым ус фельдфебель и строго обратиться к надзиратель — зачем сюда пустить	дверь пропитать сиять с надзиратель дым и с к из — обратиться фельдфебель лицо глянцевитый выйти строго и табачный пустить ус блестящий зачем это галун в сюда боков время
99	лидий уже прядь на палец улыбаться — не хотеть сказать свой уже а крутить оглядываться — весь краснеть а я оправлять отчего и не рассказать и же	— отчего же я хотеть рассказать — сказать лидий уже не улыбаться а краснеть и уже не оправлять а крутить на палец свой прядь и весь оглядываться
100	для тот чтобы спастись совсем не нужно сделать в аршин лицо и весь плакать	аршин чтобы сделать лицо спастись для плакать совсем и не весь в тот нужно
101	а да ты что-то — ведь делать в острог	— а да ведь ты что-то в острог делать
102	в это время среди остаться у окно женщина раздаться раскат хохот	остаться раздаться женщина это время хохот окно раскат среди в у
103	народ расступаться перед он и кланяться	перед он и расступаться кланяться народ
104	пускай хороший я пострадать да не они	пускай они хороший не да пострадать я
105	сказать потому не не что пойти что карцер васильев в виноватый	васильев сказать что не пойти в карцер потому что не виноватый
106	похоронить она весь воспоминание о свой прошедшее с он в тот ужасный тёмный ночь когда он приезжать из армия и не заехать к тётушка	приезжать тёмный из она тот заехать тётушка с воспоминание свой ночь он в похоронить и ужасный он когда к о весь не прошедшее армия
107	вспомнить весь безобразие наш жизнь он ясно представить себя чем мочь бы быть этот жизнь если бы человек воспитываться на этот правило и давно не испытанный восторг охватить он душить	он этот восторг бы охватить наш и весь вспомнить жизнь жизнь душить этот мочь если давно бы воспитываться себя испытанный безобразие не человек ясно он чем представить правило на быть
108	человек и существо и учитель что узнавать сострадание нравственный церковный над имя что закон тот уважение происходить не нравственный проповедываться свой держаться который тюрьма судить пожить и следовать отменить по поэтому что тот к и весь человек в и действительность в они они весь	человек пожить в тюрьма весь существо свой узнавать что судить по тот что происходить над они весь тот нравственный закон уважение и сострадание к человек который проповедываться и церковный и нравственный учитель в действительность отменить и что поэтому и имя не следовать держаться они
109	и сколько и взять деньга сказать где	и сказать где деньга и сколько взять
110	на шум войти надзирательница с надзиратель	надзирательница на надзиратель шум войти с
111	она тотчас же через голов идти перед она увидать он и он видеть как просиять она лицо	он же он как через перед просиять идти увидать видеть тотчас она она она лицо и голов
112	он знать теперь несомненно что надо быть отдать земля крестьянин потому что удерживать она быть дурно	знать что что она он потому несомненно крестьянин надо отдать быть удерживать теперь земля быть дурно
113	что не что кроме женитьба надеяться смысл жизнь жизнь теперь половый он ребёнок очаг главный что то устранять нравственный во-первых нехлюдов правильность семья во-вторых польза бессодержательный давать в приятность то женитьба вообще и дать возможность жизнь домашний быть	в польза женитьба вообще быть во-первых то что женитьба кроме приятность домашний очаг устранять не правильность половый жизнь давать возможность нравственный жизнь во-вторых и главный то что нехлюдов надеяться что семья ребёнок дать смысл он теперь бессодержательный жизнь
114	судебный пристать румяный красивый человек в великолепный мундир с бумажка в рука подойти к фанарин с вопрос по какой он дело и узнать что по дело маслов записать что-то и отойти	и с мундир великолепный вопрос в и маслов что пристать по рука он в бумажка судебный по человек узнать какой дело записать отойти что-то с красивый дело подойти к фанарин румяный
